Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifier,0.878,0.8986757679556188,0.8986757679556189,0.8839432626461511,0.07830405235290527
RidgeClassifierCV,0.878,0.8986757679556188,0.8986757679556189,0.8839432626461511,0.5667412281036377
LinearDiscriminantAnalysis,0.878,0.8986757679556188,0.8986757679556189,0.8839432626461511,0.301100492477417
LogisticRegression,0.9035,0.8967747788364793,0.8967747788364792,0.9059759041630726,0.2297806739807129
LinearSVC,0.9015,0.8961782283826061,0.896178228382606,0.904185170495492,0.27009129524230957
CalibratedClassifierCV,0.903,0.8950112437389692,0.8950112437389693,0.9054096895340974,0.48644280433654785
SVC,0.9125,0.8940779309321032,0.8940779309321032,0.913674471521238,9.780446290969849
LGBMClassifier,0.92025,0.8937885902165725,0.8937885902165725,0.920517513295872,0.5416421890258789
AdaBoostClassifier,0.90975,0.893347362807141,0.8933473628071411,0.9111981413301303,3.062542200088501
SGDClassifier,0.898,0.8884972976539347,0.8884972976539349,0.9005617057196005,0.1539926528930664
XGBClassifier,0.91875,0.8877804749311355,0.8877804749311355,0.9187061667038909,1.7664506435394287
NuSVC,0.89025,0.8733601735219569,0.8733601735219569,0.8926245800539333,35.93511986732483
RandomForestClassifier,0.90425,0.8714371917593565,0.8714371917593565,0.9045378560372382,6.720286846160889
BaggingClassifier,0.89475,0.8605315896832509,0.8605315896832509,0.8952843797114737,4.417175769805908
PassiveAggressiveClassifier,0.88175,0.8566540117330753,0.8566540117330753,0.8838256746495983,0.08539843559265137
ExtraTreesClassifier,0.909,0.8548265605155075,0.8548265605155075,0.9069908243727599,2.589895248413086
Perceptron,0.8375,0.8422893792026567,0.8422893792026568,0.8453571677357604,0.08340144157409668
QuadraticDiscriminantAnalysis,0.818,0.834499859796898,0.834499859796898,0.8283686303753418,0.09978127479553223
NearestCentroid,0.81675,0.8279384920744011,0.8279384920744011,0.8268233036360674,0.13500595092773438
DecisionTreeClassifier,0.84825,0.8174232594197242,0.817423259419724,0.8517472725620341,0.6385891437530518
GaussianNB,0.80725,0.8173916449947493,0.8173916449947494,0.8180485477724674,0.060236215591430664
BernoulliNB,0.81125,0.7995707310904503,0.7995707310904503,0.8197136902842795,0.051279306411743164
KNeighborsClassifier,0.694,0.74585301216743,0.74585301216743,0.7164780871274158,0.3422582149505615
LabelPropagation,0.7365,0.7192460372005565,0.7192460372005565,0.7511641515961989,27.366811752319336
LabelSpreading,0.7365,0.7192460372005565,0.7192460372005565,0.7511641515961989,50.09240698814392
ExtraTreeClassifier,0.7475,0.6974142149451008,0.6974142149451008,0.7566340690005074,0.09313440322875977
DummyClassifier,0.761,0.5,0.5,0.6577183418512209,0.04771566390991211
